央视,#genre#
CCTV17 农业,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
CCTV5+ 赛事,http://39.135.33.12/PLTV/77777777/224/3221226672/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226225/index.m3u8
CGTN·环球国际,http://live.cgtn.com/1000/prog_index.m3u8
CGTN·记录频道,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CCTV·老故事台,http://183.207.248.71/gitv/live1/G_LAOGUSHI/G_LAOGUSHI#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#rtmp://58.200.131.2:1935/livetv/lgstv
CCTV·新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2/index.m3u8
CCTV·发现之旅,http://39.134.24.202/PLTV/88888888/224/3221225879/index.m3u8#http://183.207.248.71/gitv/live1/G_FAXIANZL/G_FAXIANZL#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226235/1.m3u8
CETV·教育一台,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226494/index.m3u8#http://39.130.215.168:6610/gitv_live/G_CETV-1-HD/G_CETV-1-HD.m3u8#http://39.134.39.38/PLTV/88888888/224/3221226282/index.m3u8#http://39.135.138.6:6610/PLTV/88888888/224/3221225917/2/index.m3u8?fmt=ts2hls#rtmp://58.200.131.2:1935/livetv/cetv1hd
CCTV·4K超高清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229683/index.m3u8
CCTV·怀旧剧场,rtmp://58.200.131.2:1935/livetv/hjjctv
CCTV·第一剧场,rtmp://58.200.131.2:1935/livetv/dyjctv
CCTV·风云足球,rtmp://58.200.131.2:1935/livetv/fyzqtv
CCTV·兵器科技,rtmp://58.200.131.2:1935/livetv/gfjstv
卫视频道,#genre#
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/1.m3u8#http://101.71.255.229:6610/zjhs/2/10136/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://140.207.241.2:8080/live/program/live/bjwshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hdbeijingstv/1.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/1.m3u8
上海卫视,http://183.207.255.190/live/program/live/hddfws/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hddongfangstv/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226217/1.m3u8#http://101.71.255.229:6610/zjhs/2/10139/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
重庆卫视,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://183.207.248.71/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv#http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8#http://101.71.255.229:6610/zjhs/2/10142/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://121.31.30.87:8085/ysten-business/live/chongqingstv/1.m3u8
天津卫视,http://101.71.255.229:6610/zjhs/2/10150/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://183.207.255.190/live/program/live/tjwshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hdtianjinstv/1.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225941/1.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8
浙江卫视,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8#http://121.31.30.87:8085/ysten-business/live/hdzhejiangstv/1.m3u8#http://183.207.255.190/live/program/live/zjwshd/4000000/mnf.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
福建卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://183.207.255.190/live/program/live/dnwshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/dongnanstv/1.m3u8#http://101.71.255.229:6610/zjhs/2/10152/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
厦门卫视,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226542/index.m3u8
湖南卫视,http://183.207.255.190/live/program/live/hnwshd/4000000/mnf.m3u8#http://101.71.255.229:6610/zjhs/2/10140/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225935/1.m3u8#http://121.31.30.87:8085/ysten-business/live/hdhunanstv/1.m3u8
江苏卫视,rtsp://183.252.176.54/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226242/1.m3u8#http://101.71.255.229:6610/zjhs/2/10138/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://183.207.255.190/live/program/live/jswshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hdjiangsustv/1.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226869/1.m3u8
江西卫视,http://101.71.255.229:6610/zjhs/2/10145/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://121.31.30.87:8085/ysten-business/live/jiangxistv/1.m3u8#http://140.207.241.2:8080/live/program/live/jxwshd/4000000/mnf.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/1.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8#http://101.71.255.229:6610/zjhs/2/10038/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#rtmp://58.200.131.2:1935/livetv/qhtv
云南卫视,http://yntvpullhls.ynradio.com/live/yunnanweishi/playlist.m3u8#http://39.130.215.168:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://hwzbout.yunshicloud.com/8xughf/e0bx15.m3u8
贵州卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#http://39.130.215.168:6610/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8#http://101.71.255.229:6610/zjhs/2/10146/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
四川卫视,http://101.71.255.229:6610/zjhs/2/10144/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.39.38/PLTV/88888888/224/3221226307/index.m3u8#http://ivi.bupt.edu.cn/hls/schd.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226223/1.m3u8#http://101.71.255.229:6610/zjhs/2/10141/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://183.207.255.190/live/program/live/ahwshd/4000000/mnf.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/1.m3u8#http://zbbf2.ahtv.cn/live/749.m3u8
山东卫视,http://183.207.255.190/live/program/live/sdwshd/4000000/mnf.m3u8#http://101.71.255.229:6610/zjhs/2/10147/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/1.m3u8
甘肃卫视,http://39.134.39.38/PLTV/88888888/224/3221226240/index.m3u8#http://itv.ahau.edu.cn/hls/gstv.m3u8#http://117.156.28.119/PLTV/88888888/224/3221225613/index.m3u8#rtmp://58.200.131.2:1935/livetv/gstv
广东卫视,http://183.207.255.190/live/program/live/gdwshd/4000000/mnf.m3u8#http://nclive.grtn.cn/gdws/sd/live.m3u8#http://101.71.255.229:6610/zjhs/2/10143/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/1.m3u8
广西卫视,http://39.130.215.168:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8#http://itv.ahau.edu.cn/hls/gxhd.m3u8
深圳卫视,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/1.m3u8#http://101.71.255.229:6610/zjhs/2/10045/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://183.207.255.190/live/program/live/szwshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hdshenzhenstv/1.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
湖北卫视,http://183.207.255.190/live/program/live/hbwshd/4000000/mnf.m3u8#http://121.31.30.87:8085/ysten-business/live/hdhubeistv/1.m3u8#http://101.71.255.229:6610/zjhs/2/10154/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
河北卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225610/2/index.m3u8?fmt=ts2hls#http://101.71.255.229:6610/zjhs/2/10017/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河南卫视,http://101.71.255.229:6610/zjhs/2/10153/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/hnhd.m3u8
辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8#http://101.71.255.229:6610/zjhs/2/10148/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225947/1.m3u8#http://183.207.255.190/live/program/live/lnwshd/4000000/mnf.m3u8
吉林卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil#http://101.71.255.229:6610/zjhs/2/10149/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
黑龙江卫视,http://stream3.hljtv.com/hljws2/sd/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8#http://101.71.255.229:6610/zjhs/2/10151/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8
海南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://39.134.39.38/PLTV/88888888/224/3221226301/index.m3u8#http://ivi.bupt.edu.cn/hls/lyhd.m3u8#http://101.71.255.229:6610/zjhs/2/10034/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
三沙卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226544/index.m3u8#http://ivi.bupt.edu.cn/hls/sstv.m3u8#rtmp://58.200.131.2:1935/livetv/sstv
宁夏卫视,https://hhytv.ningxiahuangheyun.com/live/nxws1M.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226528/index.m3u8#rtmp://58.200.131.2:1935/livetv/nxtv
山西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226531/index.m3u8#rtmp://58.200.131.2:1935/livetv/sxrtv
陕西卫视,rtmp://58.200.131.2:1935/livetv/sxtv
轮播电影,#genre#
周星驰,http://121.12.115.14/tx.hls.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1_2000.m3u8
林正英,http://121.12.115.14/tx.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1-imgplus_2000.m3u8
沈腾,http://121.12.115.14/tx.hls.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1-imgplus_2000.m3u8
徐峥,http://121.12.115.14/tx.hls.huya.com/src/1524434085-1524434085-6547394539982684160-3048991626-10057-A-0-1_2000.m3u8
黄渤,http://121.12.115.14/tx.hls.huya.com/src/1448737849-1448737849-6222281681932386304-2847687520-10057-A-0-1_2000.m3u8
成龙,http://121.12.115.14/tx.hls.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1-imgplus_2000.m3u8
刘德华,http://121.12.115.14/tx.hls.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1_2000.m3u8
李连杰,http://121.12.115.14/tx.hls.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1-imgplus_2000.m3u8
周润发,http://121.12.115.14/tx.hls.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1-imgplus_2000.m3u8
吴京,http://121.12.115.14/tx.hls.huya.com/src/1524434090-1524434090-6547394561457520640-3048991636-10057-A-0-1_2000.m3u8
甄子丹,http://121.12.115.14/tx.hls.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1-imgplus_2000.m3u8
冯小刚,http://121.12.115.14/tx.hls.huya.com/src/1423782077-1423782077-6115097457345953792-2847687610-10057-A-0-1_2000.m3u8
科幻电影,http://121.12.115.14/tx.hls.huya.com/src/1423782061-1423782061-6115097388626477056-2847687578-10057-A-0-1_2000.m3u8
五福星,http://121.12.115.14/tx.hls.huya.com/src/1356780980-1356780980-5827329936934830080-2713685416-10057-A-0-1_2000.m3u8
警匪电影,http://121.12.115.14/tx.hls.huya.com/src/1423782050-1423782050-6115097341381836800-2847687556-10057-A-0-1-imgplus_2000.m3u8
高智商罪犯,http://121.12.115.14/tx.hls.huya.com/src/1423787865-1423787865-6115122316616663040-2847699186-10057-A-0-1-imgplus_2000.m3u8
黑帮大片,http://121.12.115.14/tx.hls.huya.com/src/1388472589-1388472589-5963444361147449344-2777068634-10057-A-0-1-imgplus_2000.m3u8
漫威电影,http://121.12.115.14/tx.hls.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1_2000.m3u8
各国赌片,http://121.12.115.14/tx.hls.huya.com/src/1394565207-1394565207-5989611956204470272-2789253870-10057-A-0-1-imgplus_2000.m3u8
贺岁电影,http://121.12.115.14/tx.hls.huya.com/src/1524418118-1524418118-6547325962239868928-3048959692-10057-A-0-1-imgplus_2000.m3u8
黑帮斗争,http://121.12.115.14/tx.hls.huya.com/src/1394575541-1394575541-5989656340396507136-2789274538-10057-A-0-1_2000.m3u8
生化危机,http://121.12.115.14/tx.hls.huya.com/src/1099531752748-1099531752748-86436096572915712-2199063628952-10057-A-0-1_2000.m3u8
灾难大片,http://121.12.115.14/tx.hls.huya.com/src/1423782052-1423782052-6115097349971771392-2847687560-10057-A-0-1_2000.m3u8
怪兽大片,http://121.12.115.14/tx.hls.huya.com/src/1099531752749-1099531752749-86436100867883008-2199063628954-10057-A-0-1_2000.m3u8
中国功夫,http://121.12.115.14/tx.hls.huya.com/src/1448738174-1448738174-6222283077796757504-2847699112-10057-A-0-1_2000.m3u8
死神来了,http://121.12.115.14/tx.hls.huya.com/src/1423782074-1423782074-6115097444461051904-2847687604-10057-A-0-1_2000.m3u8
牛气冲天,http://121.12.115.14/tx.hls.huya.com/src/1388457235-1388457235-5963378416219586560-2777037926-10057-A-0-1_2000.m3u8
黄飞鸿,http://121.12.115.14/tx.hls.huya.com/src/1524434076-1524434076-6547394501327978496-3048991608-10057-A-0-1_2000.m3u8
古墓系列,http://121.12.115.14/tx.hls.huya.com/src/1423782085-1423782085-6115097491705692160-2847687626-10057-A-0-1_2000.m3u8
韩国高分,http://121.12.115.14/tx.hls.huya.com/src/1423782047-1423782047-6115097328496934912-2847687550-10057-A-0-1_2000.m3u8
动作大片,http://121.12.115.14/tx.hls.huya.com/src/1449698649-1449698649-6226408286510383104-2847699168-10057-A-0-1_2000.m3u8
喜剧电影,http://121.12.115.14/tx.hls.huya.com/src/1420969427-1420969427-6103017217580859392-2847687524-10057-A-0-1_2000.m3u8
星爷经典,http://121.12.115.14/tx.hls.huya.com/src/1449698986-1449698986-6226409733914361856-2847687634-10057-A-0-1_2000.m3u8
国产硬汉,http://121.12.115.14/tx.hls.huya.com/src/1423782075-1423782075-6115097448756019200-2847687606-10057-A-0-1_2000.m3u8
经典喜剧,http://121.12.115.14/tx.hls.huya.com/src/1449597183-1449597183-6225972493358727168-2847687548-10057-A-0-1_2000.m3u8
三国鼎立,http://121.12.115.14/tx.hls.huya.com/src/1524439840-1524439840-6547419257519472640-3049003136-10057-A-0-1_2000.m3u8
杰克船长,http://121.12.115.14/tx.hls.huya.com/src/1448738217-1448738217-6222283262480351232-2847699222-10057-A-0-1_2000.m3u8
童年女神,http://121.12.115.14/tx.hls.huya.com/src/1449698962-1449698962-6226409630835146752-2789274564-10057-A-0-1_2000.m3u8
宅家观影,http://121.12.115.14/tx.hls.huya.com/src/1099531752756-1099531752756-86436130932654080-2199063628968-10057-A-0-1_2000.m3u8
许氏三杰,http://121.12.115.14/tx.hls.huya.com/src/1524434070-1524434070-6547394475558174720-3048991596-10057-A-0-1_2000.m3u8
举国欢庆,http://121.12.115.14/tx.hls.huya.com/src/1423787870-1423787870-6115122338091499520-2847699196-10057-A-0-1_2000.m3u8
国产大片,http://121.12.115.14/tx.hls.huya.com/src/1423782021-1423782021-6115097216827785216-2847687498-10057-A-0-1_2000.m3u8
爆笑大片,http://121.12.115.14/tx.hls.huya.com/src/1524418101-1524418101-6547325889225424896-3048959658-10057-A-0-1_2000.m3u8
武侠动作,http://121.12.115.14/tx.hls.huya.com/src/1449584124-1449584124-6225916405380808704-2847687586-10057-A-0-1_2000.m3u8
歪果喜剧,http://121.12.115.14/tx.hls.huya.com/src/1524434111-1524434111-6547394651651833856-3048991678-10057-A-0-1_2000.m3u8
甜甜恋爱,http://121.12.115.14/tx.hls.huya.com/src/1524439836-1524439836-6547419240339603456-3049003128-10057-A-0-1_2000.m3u8
標行天下,http://121.12.115.14/tx.hls.huya.com/src/1449574253-1449574253-6225874009758629888-2847699210-10057-A-0-1_2000.m3u8
香港贺岁,http://121.12.115.14/tx.hls.huya.com/src/1099531752755-1099531752755-86436126637686784-2199063628966-10057-A-0-1_2000.m3u8
狄仁杰之,http://121.12.115.14/tx.hls.huya.com/src/1423782037-1423782037-6115097285547261952-2847687530-10057-A-0-1_2000.m3u8
马冬梅,http://121.12.115.14/tx.hls.huya.com/src/1099531752758-1099531752758-86436139522588672-2199063628972-10057-A-0-1_2000.m3u8
羞涩茄子,http://121.12.115.14/tx.hls.huya.com/src/1448737814-1448737814-6222281531608530944-2777037662-10057-A-0-1_2000.m3u8
向阳花,http://121.12.115.14/tx.hls.huya.com/src/1524439830-1524439830-6547419214569799680-3049003116-10057-A-0-1_2000.m3u8
埋堆堆,http://121.12.115.14/tx.hls.huya.com/src/1199561181026-1199561181026-5434445492840824832-2399122485508-10057-A-0-1_2000.m3u8
海爷5号厅,https://42.56.91.136/live-bvc/470217/live_199793349_7660540_1500.m3u8
海爷3号厅,https://42.56.91.136/live-bvc/342662/live_268522326_2538218_1500.m3u8
海爷6号厅,https://42.56.91.136/live-bvc/461963/live_255137759_7132099_1500.m3u8
海爷2号厅,https://42.56.91.136/live-bvc/127923/live_52370715_1734265_800.m3u8
酷狗港片,https://tx.liveplay.live.kugou.com/live/fx_hifi_1640924_avc.m3u8
河东影视,http://jsylivealone302.iqilu.com/live/hedong_tv01/index.m3u8
长沙影视,https://35848-cdn-1.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
句容影视,http://218.3.92.100:1937/live/yingshi/chunklist_w365370764.m3u8
威远综合,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=658713859
黄金剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625155140
军旅剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625643517
抗战老片,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625542372
少林剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625526423
喜剧联盟,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=637444830
情感剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625574378
热剧联播,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=629943613
高清大片,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=629943678
僵尸剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627033504
深夜尤物剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625759558
红色谍战剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=634274665
激情夜场影院,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625188208
每日科幻电影,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625204865
追剧少女,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=617432318
怀旧老片,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=621640582
武侠剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627198822
精品网剧,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627198751
假期剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627198692
国际剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625542365
经典频道,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625542369
精品剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=615810094
经典放映厅,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=626157533
高分影院,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627198191
新片放映厅,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=619495952
华视火爆劲片,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=624999147
TVB剧场,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=631354620
纪晓岚频道,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=625774662
古天乐影院,http://20f1c95954.qicp.vip/TVOD/mgys.php?id=627198610
